Category,Model,RMSE,MAE
Collaborative Filtering,Item-based CF,0.9254461222826619,0.722681983945556
Matrix Factorization,SVD,0.9269538114368844,0.7305877615100834
Collaborative Filtering,User-based CF,1.0066628090578897,0.8009701275548159
Baseline,Popularity,1.0158057812200856,0.8105680077635568
Baseline,User Mean,1.0394387038181265,0.8317471938818654
Baseline,Global Mean,1.1202127761752452,0.9399112649999999
