K,RMSE,MAE
5,0.9563119197945226,0.7354970510458706
10,0.9271221093554146,0.7187891906113733
20,0.9196026103944731,0.7154047939620336
30,0.9195424178981894,0.7159030710395411
40,0.9213398005857647,0.7172431058285603
50,0.9220204867947915,0.7184415353739323
